,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Vincent,Poirier,C,26,213.36,235,1,89,0.3,0.2,0.5,1.6,0.5,0,0,0.9,0,0.8,8,0.3,80,18.26923077,0.2,0.2,14.7,R,,,
players,Marcus,Smart,SG,25,190.5,220,1,74,1.3,1.7,0.879,4.3,0.465,6.3,0.333,1,35,2.4,27.5,4.6,80,34,1.3,0.5,95.4,PT,,,
players,Jayson,Tatum,PF,21,203.2,210,1,86,2.3,4.1,0.832,11.3,0.441,6.8,0.363,1.2,35,6,50,2.8,80,35.11904762,1.5,0.7,102.6,EX,,,
players,Daniel,Theis,C,27,203.2,245,1,92,0.9,1.6,0.677,4.4,0.568,1,0.316,1.6,35,4.8,9.5,1.3,80,30.09259259,0.5,1.6,65.4,,,,
players,Kemba,Walker,PG,29,182.88,184,1,74,2.2,4.5,0.898,8.4,0.457,9.1,0.408,1,65,3.4,36.5,5.2,80,48.87931034,1,0.5,96.3,CG,,,
players,Brad,Wanamaker,PG,30,190.5,210,1,74,1.3,2.4,0.873,3.9,0.489,1.3,0.4,0.5,25,1.7,30.5,2.8,80,20.83333333,0.7,0.3,54,,,,
players,Tremont,Waters,PG,22,177.8,175,1,95,2,2,1,2,0.5,5,0.2,0,0,2,5,3,80,21.59090909,1,2,60,R,,,
players,Grant,Williams,PF,21,198.12,236,1,77,0.8,0.8,0.824,1.5,0.412,1.2,0.038,0.7,0,1.5,6.5,0.8,80,20.11904762,0.4,0.5,42,R,,,
players,Robert,Williams,C,22,203.2,237,1,107,0.8,0.7,0.571,2.6,0.673,0,0,1.2,35,3.4,8,1.1,80,36.59090909,0.9,1.1,42.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Brooklyn Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jarrett,Allen,C,21,210.82,243,2,77,1.2,4.6,0.604,7.4,0.672,0,0,3.8,35,6.8,15.5,1.2,80,45.11904762,0.8,1.3,79.5,PT,,,
players,Nicolas,Claxton,PF,20,210.82,215,2,56,0.7,1.3,0.417,1.8,0.688,0.6,0,0.9,0,1.6,9.5,1.2,80,23.75,0.1,0.6,39.6,R,,,
